global unique identifier	last edited date	taxonomic order	category	taxon concept id	common name	scientific name	subspecies common name	subspecies scientific name	exotic code	observation count	breeding code	breeding category	behavior code	age/sex	country	country code	state	state code	county	county code	iba code	bcr code	usfws code	atlas block	locality	locality id	locality type	latitude	longitude	observation date	time observations started	observer id	sampling event identifier	protocol type	protocol code	project code	duration minutes	effort distance km	effort area ha	number observers	all species reported	group identifier	has media	approved	reviewed	reason	trip comments	species comments	
URN:CornellLabOfOrnithology:EBIRD:OBS1274674875	2022-10-25 02:26:48.713657	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				4					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Vereda San Juan (5.295, -75.102)	L16859257	P	5.2953484	-75.1020882	2021-11-09	06:23:00	obsr1439256	S97401371	Traveling	P22	EBIRD	120	2.2	NA	18	1	G7406142	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1288555721	2021-12-03 13:52:32.10006	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				3					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Escuela Valles	L12445416	P	4.9389206	-75.5069053	2021-11-09	09:05:00	obsr1673374	S98410149	Traveling	P22	EBIRD	60	0.79	NA	20	1	G7406280	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1273244597	2021-11-08 08:29:35.752135	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				2					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Hospital Santa Sofía de Caldas	L9607673	P	5.058152	-75.530057	2021-11-08	07:47:00	obsr1352602	S97292104	Stationary	P21	EBIRD_COL	41	NA	NA	2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1276231630	2021-11-20 10:31:51.264473	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				2					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Hotel Paraíso Verde Manizales	L7350447	H	5.0898541	-75.5333555	2021-11-13	09:43:00	obsr621480	S97513004	Traveling	P22	EBIRD	54	0.894	NA	4	1	G7440625	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1281624987	2022-10-25 02:30:08.274057	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				1					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Kairí Lodge Natural Reserve, Manizales	L8909399	H	5.0590335	-75.539664	2021-11-21	16:44:00	obsr910359	S97901943	Stationary	P21	EBIRD	64	NA	NA	1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1276673095	2021-11-13 20:35:05.919375	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				12					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco--Lodge	L1252500	H	5.0732224	-75.4378641	2021-11-12	06:25:00	obsr42086	S97546446	Traveling	P22	EBIRD	324	3.299	NA	11	1	G7418296	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1291508232	2021-12-08 08:56:46.943005	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				3					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Forestal Protectora Bosques de La Chec	L4510695	H	5.0186864	-75.4034498	2021-11-13	09:20:00	obsr1439834	S98619185	Traveling	P22	EBIRD	128	1.6	NA	14	1	G7419544	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1277392392	2022-03-26 11:46:57.196697	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				1					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Hotel Tinamú Birding Nature Reserve	L3218682	H	5.0646858	-75.5921951	2021-11-14	05:41:00	obsr531549	S97597862	Traveling	P22	EBIRD	264	3.879	NA	10	1	G7420912	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1276126683	2022-10-26 03:28:07.271081	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				1					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Ecoparque Los Alcázares-Arenillo--Jaulas	L8300431	H	5.066063	-75.531667	2021-11-11	16:21:00	obsr1020234	S97504483	Traveling	P22	EBIRD	42	1.06	NA	1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1278404663	2021-11-19 13:19:55.322899	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				4					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Finca Paz Verde, Vereda Gallinazo, Villamaría, Caldas, CO (5.009, -75.426)	L14132774	P	5.0087058	-75.426215	2021-11-16	11:39:00	obsr622414	S97668028	Traveling	P22	EBIRD	25	0.45	NA	1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1277308575	2021-11-14 17:38:44.795468	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				12					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco--Lodge	L1252500	H	5.0732224	-75.4378641	2021-11-12	06:25:00	obsr203305	S97592256	Traveling	P22	EBIRD	324	3.299	NA	11	1	G7418296	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1290396192	2022-10-26 06:20:06.864602	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				2					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Puente La Palma- Pensilvania	L16735531	P	5.4528333	-75.1524817	2021-11-12	06:07:00	obsr1469735	S98541495	Traveling	P22	EBIRD	420	6.74	NA	2	1	G7414649	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1284789004	2021-11-27 12:31:27.060163	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				2					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Caldas, Villamaria Villadelsolaves	L14564023	P	4.9917325	-75.571554	2021-11-27	11:16:00	obsr2446453	S98139455	Stationary	P21	EBIRD	180	NA	NA	12	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1271929448	2021-11-06 10:57:38.633555	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				1					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Sector Manantialea (5.008, -75.429)	L6677482	P	5.0078067	-75.42934	2021-11-06	07:40:00	obsr622414	S97191221	Traveling	P22	EBIRD	134	1.25	NA	1	1		0	1	0				
