sci_name	info	Year	Score	Values
Saguinus oedipus	GFW	2000	HS	100
Saguinus oedipus	GFW	2000	CS	100
Saguinus oedipus	GFW	2000	SHS	100
Saguinus oedipus	GFW	2010	HS	47.8022655080432
Saguinus oedipus	GFW	2010	CS	57.8869835680326
Saguinus oedipus	GFW	2010	SHS	52.8446245380379
Saguinus oedipus	GFW	2020	HS	47.72828796864273
Saguinus oedipus	GFW	2020	CS	57.94604364847687
Saguinus oedipus	GFW	2020	SHS	52.8371658085598
