sci_name	info	Year	Score	Values
Ateles fusciceps	GFW	2000	HS	100
Ateles fusciceps	GFW	2000	CS	100
Ateles fusciceps	GFW	2000	SHS	100
Ateles fusciceps	GFW	2020	HS	79.49661655096864
Ateles fusciceps	GFW	2020	CS	43.87232251560553
Ateles fusciceps	GFW	2020	SHS	61.684469533287086
