sci_name	area_range_map	area_study_a	area_bbox_analysis	buff_size	area_aoh
Saguinus oedipus	52027717153.0092	1139945125019.12	118137384364.565	0	11784083.929786682
Ateles fusciceps	212914085282.938	1139945125019.12	503598795283.712	0	50163246.517326355
