year_published,latest,possibly_extinct,possibly_extinct_in_the_wild,sis_taxon_id,url,scientific_name,red_list_category_code,assessment_id,scopes
2025,TRUE,FALSE,FALSE,268512507,https://www.iucnredlist.org/species/268512507/243900788,Cabassous unicinctus,LC,243900788,"Global, 1"
2025,TRUE,FALSE,FALSE,18144,https://www.iucnredlist.org/species/18144/244101181,Priodontes maximus,VU,244101181,"Global, 1"
2025,TRUE,FALSE,FALSE,3412,https://www.iucnredlist.org/species/3412/243899805,Cabassous centralis,LC,243899805,"Global, 1"
