id;lon;lat;scientificName
158338931;-80.3894;43.1712;Graptemys geographica
158349443;-76.2418;45.3814;Graptemys geographica
158365378;-81.9912;42.3852;Graptemys geographica
158313632;-85.1091;42.2374;Graptemys geographica
158590042;-83.9014;42.3344;Graptemys geographica
158532840;-85.9341;41.6906;Graptemys geographica
158549306;-77.1347;44.1121;Graptemys geographica
158577641;-81.5448;39.3554;Graptemys geographica
158646891;-82.3399;42.3662;Graptemys geographica
158521535;-83.3517;41.6841;Graptemys geographica
158561500;-83.6926;42.2761;Graptemys geographica
159109231;-85.6752;42.9672;Graptemys geographica
159111546;-80.1308;42.043;Graptemys geographica
159149315;-80.3239;43.1258;Graptemys geographica
159151879;-79.9627;42.1903;Graptemys geographica
159157486;-76.0875;44.2763;Graptemys geographica
159166238;-76.14;44.3834;Graptemys geographica
159243233;-76.1552;44.3578;Graptemys geographica
159254983;-84.6858;39.293;Graptemys geographica
159278970;-78.2801;44.3167;Graptemys geographica
159108339;-79.9513;43.3203;Graptemys geographica
159314176;-83.9152;42.3739;Graptemys geographica
159321922;-85.4003;42.4031;Graptemys geographica
159325730;-80.3;43.4712;Graptemys geographica
159329704;-78.2339;44.3469;Graptemys geographica
159335701;-76.0847;44.8327;Graptemys geographica
159346054;-85.0261;42.3963;Graptemys geographica
159400824;-79.9167;43.3994;Graptemys geographica
159407988;-76.4617;44.2668;Graptemys geographica
159417265;-79.7783;45.3696;Graptemys geographica
159421616;-76.0396;44.2127;Graptemys geographica
159436672;-78.3526;44.2278;Graptemys geographica
159439276;-83.2212;39.9127;Graptemys geographica
159444202;-85.4616;42.9424;Graptemys geographica
159450851;-77.3979;40.5517;Graptemys geographica
159296245;-79.9129;43.2259;Graptemys geographica
159302595;-77.8133;44.3259;Graptemys geographica
159462736;-81.4145;41.2144;Graptemys geographica
159512344;-76.7175;40.1266;Graptemys geographica
159516408;-81.9389;42.3923;Graptemys geographica
159528172;-75.7543;44.5738;Graptemys geographica
159567539;-83.4763;42.8333;Graptemys geographica
159580476;-84.3018;38.3414;Graptemys geographica
159583003;-77.5848;45.7292;Graptemys geographica
159587007;-79.9046;43.2517;Graptemys geographica
159487051;-75.5302;45.4148;Graptemys geographica
159493108;-79.1143;44.4673;Graptemys geographica
159502805;-76.5692;44.3565;Graptemys geographica
159642842;-77.5375;44.262;Graptemys geographica
159516828;-76.5218;44.4381;Graptemys geographica
159630221;-74.8013;40.5167;Graptemys geographica
159768344;-76.518;45.2428;Graptemys geographica
159672409;-85.0668;42.3658;Graptemys geographica
159674790;-76.0203;44.4109;Graptemys geographica
159678839;-75.9014;44.507;Graptemys geographica
159687414;-76.2488;44.8702;Graptemys geographica
159709845;-84.3092;42.0959;Graptemys geographica
159713617;-83.0199;40.0223;Graptemys geographica
159716182;-79.8637;43.2779;Graptemys geographica
159723812;-85.1221;42.3861;Graptemys geographica
159740234;-76.3094;44.4114;Graptemys geographica
159743994;-79.3614;43.1037;Graptemys geographica
159779619;-81.397;42.9403;Graptemys geographica
159784241;-78.3384;44.2645;Graptemys geographica
159787501;-76.5935;44.4804;Graptemys geographica
159791823;-76.4653;44.4381;Graptemys geographica
159800525;-83.2796;42.0821;Graptemys geographica
159814905;-82.1232;41.4611;Graptemys geographica
159823233;-83.7487;42.3025;Graptemys geographica
159829956;-79.9585;45.1152;Graptemys geographica
159758437;-76.7156;40.2009;Graptemys geographica
159761199;-76.1629;44.8238;Graptemys geographica
159948952;-84.6362;42.7606;Graptemys geographica
159954328;-76.392;44.2057;Graptemys geographica
159967742;-76.1355;44.5606;Graptemys geographica
159854155;-76.4509;44.7696;Graptemys geographica
159857087;-76.3052;44.5581;Graptemys geographica
160040332;-83.2676;41.1974;Graptemys geographica
160086187;-77.9531;44.2204;Graptemys geographica
159977101;-76.4302;44.3527;Graptemys geographica
160014435;-84.1105;39.4256;Graptemys geographica
160110324;-83.9873;42.4345;Graptemys geographica
160134125;-81.8519;36.9417;Graptemys geographica
160137755;-73.3203;44.5322;Graptemys geographica
160103628;-85.2992;40.165;Graptemys geographica
160710247;-76.3846;44.771;Graptemys geographica
156447505;-83.8991;39.7664;Graptemys geographica
156767060;-76.2263;44.4376;Graptemys geographica
156799275;-85.124;42.2937;Graptemys geographica
156735678;-84.8257;38.3219;Graptemys geographica
156869538;-79.8682;42.901;Graptemys geographica
156909327;-77.4266;45.7759;Graptemys geographica
157482601;-84.0517;40.7548;Graptemys geographica
157531916;-76.0526;44.6771;Graptemys geographica
157863833;-77.8898;44.3273;Graptemys geographica
158126894;-83.9151;42.3845;Graptemys geographica
158553334;-79.9097;43.2732;Graptemys geographica
159161401;-84.7103;42.1979;Graptemys geographica
159405163;-75.8533;44.4784;Graptemys geographica
159539262;-76.244;44.4819;Graptemys geographica
159525123;-79.8474;43.2782;Graptemys geographica
159775042;-85.4008;42.4037;Graptemys geographica
159716841;-83.1629;41.6155;Graptemys geographica
159748341;-80.2055;43.1863;Graptemys geographica
159758405;-82.3465;42.2375;Graptemys geographica
159837532;-73.014;44.8122;Graptemys geographica
160026329;-76.2909;45.2411;Graptemys geographica
157494541;-83.2096;41.6186;Graptemys geographica
156374284;-73.2689;44.5409;Graptemys geographica
156424929;-81.1478;41.5958;Graptemys geographica
156438475;-76.3081;44.4232;Graptemys geographica
156448360;-73.4657;43.5678;Graptemys geographica
156451249;-84.1989;39.1836;Graptemys geographica
156457339;-81.4176;41.2129;Graptemys geographica
156367420;-79.7837;44.9026;Graptemys geographica
156369751;-80.0585;45.3228;Graptemys geographica
156376849;-76.149;45.2734;Graptemys geographica
156387480;-84.2025;39.7298;Graptemys geographica
156389532;-80.1149;42.1586;Graptemys geographica
156406955;-76.2036;44.7878;Graptemys geographica
156412154;-84.3016;38.3421;Graptemys geographica
156756363;-76.0643;42.0053;Graptemys geographica
156761765;-76.3562;43.4428;Graptemys geographica
156772632;-82.4959;42.0339;Graptemys geographica
156786568;-82.4958;40.3855;Graptemys geographica
156358094;-76.2858;44.7111;Graptemys geographica
156720738;-75.498;45.4951;Graptemys geographica
156748216;-83.0547;42.1629;Graptemys geographica
156871818;-79.8677;43.2073;Graptemys geographica
156908478;-81.8471;42.3647;Graptemys geographica
156816674;-76.2822;44.998;Graptemys geographica
156879506;-79.951;45.1678;Graptemys geographica
157279858;-81.4176;41.2129;Graptemys geographica
157526584;-83.606;42.2259;Graptemys geographica
157473989;-77.366;44.467;Graptemys geographica
157475506;-79.3618;44.6661;Graptemys geographica
157505729;-75.4469;45.4568;Graptemys geographica
157513478;-76.957;40.2484;Graptemys geographica
157629492;-74.7798;40.2197;Graptemys geographica
157415793;-85.0078;42.347;Graptemys geographica
157420132;-85.5263;35.1111;Graptemys geographica
157423645;-75.8882;45.3595;Graptemys geographica
157425952;-76.5473;44.7856;Graptemys geographica
157611634;-85.3888;42.3707;Graptemys geographica
157621330;-80.3211;43.172;Graptemys geographica
157686161;-80.0179;45.3075;Graptemys geographica
157691894;-81.3952;43.0554;Graptemys geographica
157694744;-81.5305;42.8771;Graptemys geographica
157702457;-76.2123;44.4548;Graptemys geographica
157655257;-82.9425;39.9515;Graptemys geographica
157572906;-81.3838;42.801;Graptemys geographica
157588686;-77.5828;44.3172;Graptemys geographica
157600611;-85.3998;42.405;Graptemys geographica
157600832;-81.7654;36.9233;Graptemys geographica
157608937;-78.0116;44.4301;Graptemys geographica
157611470;-83.2096;41.6186;Graptemys geographica
157718221;-85.4004;42.405;Graptemys geographica
157722565;-84.7447;40.1467;Graptemys geographica
157735071;-80.2369;43.0591;Graptemys geographica
157736840;-75.9101;44.4134;Graptemys geographica
157791100;-76.5636;44.3397;Graptemys geographica
