"","X","Cam.Site","scientificName","vernacularName","eventDate","eventTime","organismQuantity","class","order","family","genus","filename"
"507",507,"Platanillo2_3321","Cuniculus paca","Guagua","5/09/2019","22:40",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3321_09050023.JPG"
"508",508,"Platanillo2_3321","Cuniculus paca","Guagua","6/09/2019","3:58",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3321_09060025.JPG"
"509",509,"Platanillo2_3321","Cuniculus paca","Guagua","6/09/2019","4:11",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3321_09060028.JPG"
"510",510,"Platanillo2_3321","Cuniculus paca","Guagua","7/09/2019","3:10",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3321_09070031.JPG"
"511",511,"Platanillo2_3321","Cuniculus paca","Guagua","7/09/2019","3:17",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3321_09070034.JPG"
"516",516,"Platanillo2_3321","Cuniculus paca","Guagua","19/09/2019","21:23",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3321_09190079.JPG"
"519",519,"Platanillo2_3321","Cuniculus paca","Guagua","25/09/2019","21:11",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3321_09250094.JPG"
"521",521,"Platanillo2_3321","Cuniculus paca","Guagua","30/09/2019","20:13",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3321_09300103.JPG"
"522",522,"Platanillo2_3321","Cuniculus paca","Guagua","30/09/2019","22:57",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3321_09300106.JPG"
"525",525,"Platanillo2_3321","Cuniculus paca","Guagua","7/10/2019","22:03",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3321_10070118.JPG"
"526",526,"Platanillo2_3321","Cuniculus paca","Guagua","11/10/2019","2:07",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3321_10110121.JPG"
"529",529,"Platanillo2_3321","Cuniculus paca","Guagua","16/10/2019","19:05",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3321_10160144.JPG"
"532",532,"Platanillo2_3321","Cuniculus paca","Guagua","18/10/2019","21:39",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3321_10180154.JPG"
"537",537,"Platanillo2_3321","Cuniculus paca","Guagua","24/10/2019","19:08",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3321_10240172.JPG"
"538",538,"Platanillo2_3321","Cuniculus paca","Guagua","24/10/2019","23:35",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3321_10240175.JPG"
"539",539,"Platanillo2_3321","Cuniculus paca","Guagua","25/10/2019","20:50",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3321_10250181.JPG"
"540",540,"Platanillo2_3321","Cuniculus paca","Guagua","27/10/2019","20:48",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3321_10270185.JPG"
"541",541,"Platanillo2_3321","Cuniculus paca","Guagua","7/11/2019","1:13",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3321_11070205.JPG"
"544",544,"Platanillo2_3333","Cuniculus paca","Guagua","26/09/2019","19:14",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3333_09260033.JPG"
"549",549,"Platanillo2_3333","Cuniculus paca","Guagua","29/10/2019","21:59",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo2_3333_10290097.JPG"
"570",580,"Platanillo3_3326","Cuniculus paca","Guagua","2/09/2019","1:23",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3326_09020025.JPG"
"571",581,"Platanillo3_3326","Cuniculus paca","Guagua","2/09/2019","22:47",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3326_09020031.JPG"
"572",582,"Platanillo3_3326","Cuniculus paca","Guagua","3/09/2019","21:52",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3326_09030037.JPG"
"573",583,"Platanillo3_3326","Cuniculus paca","Guagua","5/09/2019","23:31",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3326_09050046.JPG"
"591",601,"Platanillo3_3326","Cuniculus paca","Guagua","17/10/2019","22:40",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3326_10170283.JPG"
"592",602,"Platanillo3_3326","Cuniculus paca","Guagua","21/10/2019","11:39",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3326_10210294.JPG"
"593",603,"Platanillo3_3326","Cuniculus paca","Guagua","24/10/2019","15:12",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3326_10240298.JPG"
"594",604,"Platanillo3_3326","Cuniculus paca","Guagua","25/10/2019","10:12",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3326_10250309.JPG"
"596",606,"Platanillo3_3328","Cuniculus paca","Guagua","3/09/2019","22:35",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3328_09030022.JPG"
"597",607,"Platanillo3_3328","Cuniculus paca","Guagua","4/09/2019","22:53",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3328_09040028.JPG"
"616",626,"Platanillo3_3328","Cuniculus paca","Guagua","1/10/2019","0:42",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo3_3328_10010200.JPG"
"646",656,"Platanillo1_3316","Cuniculus paca","Guagua","20/09/2019","0:10",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Platanillo1_3316_09200057.JPG"
"691",701,"Rumiyaco1_3318","Cuniculus paca","Guagua","26/07/2019","0:34",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco1_3318_07260016.JPG"
"694",704,"Rumiyaco1_3318","Cuniculus paca","Guagua","29/07/2019","22:55",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco1_3318_07290063.JPG"
"696",706,"Rumiyaco1_3318","Cuniculus paca","Guagua","3/08/2019","19:23",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco1_3318_08030082.JPG"
"700",710,"Rumiyaco1_3318","Cuniculus paca","Guagua","5/08/2019","22:17",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco1_3318_08050154.JPG"
"701",711,"Rumiyaco1_3318","Cuniculus paca","Guagua","6/08/2019","21:27",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco1_3318_08060180.JPG"
"704",714,"Rumiyaco1_3318","Cuniculus paca","Guagua","15/08/2019","21:05",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco1_3318_08150196.JPG"
