"","1342Cinaruco","02020016El_Cocuy","02070640Los_Paraguitos","02070644El_Horizonte","02070638Bombay","02070946El_Guamito","02070637Los_Clavellinos","01010002Cuenca_del_Rio_Tame","01010016Cuenca_Alta_del_Rio_Satoca"
"1342Cinaruco",0,248995.001179524,33570.2680962365,46492.2902877481,49805.690250872,70073.7420323966,46771.5878861137,228883.379580659,237903.33721018
"02020016El_Cocuy",248995.001179524,0,243343.61552162,280331.787267814,280023.150184825,185190.32060295,281972.899813608,23797.6205401217,38384.7909453293
"02070640Los_Paraguitos",33570.2680962365,243343.61552162,0,37006.4162988095,36839.665715256,81463.5448353228,38705.7163057964,221653.154846939,237424.560908162
"02070644El_Horizonte",46492.2902877481,280331.787267814,37006.4162988095,0,4938.6894623325,112601.401528096,2130.60147708828,258658.438172534,273844.159589176
"02070638Bombay",49805.690250872,280023.150184825,36839.665715256,4938.6894623325,0,114498.826009713,6596.13015940145,258173.630804796,274210.831057622
"02070946El_Guamito",70073.7420323966,185190.32060295,81463.5448353228,112601.401528096,114498.826009713,0,113508.652488156,167240.019676511,170050.683199018
"02070637Los_Clavellinos",46771.5878861137,281972.899813608,38705.7163057964,2130.60147708828,6596.13015940145,113508.652488156,0,260348.151548031,275285.566300748
"01010002Cuenca_del_Rio_Tame",228883.379580659,23797.6205401217,221653.154846939,258658.438172534,258173.630804796,167240.019676511,260348.151548031,0,48466.2044597349
"01010016Cuenca_Alta_del_Rio_Satoca",237903.33721018,38384.7909453293,237424.560908162,273844.159589176,274210.831057622,170050.683199018,275285.566300748,48466.2044597349,0
