"","layer","start","end","period","href","file"
"1","Colombia_human_footprint_1970_12_31_footprint_1970_1970_01_01_1971_01_01","1970-01-01","1971-01-01","1970-01-01_1971-01-01","Colombia_human_footprint-1970_12_31-footprint_1970.tif","Colombia_human_footprint_1970_12_31_footprint_1970_1970_01_01_1971_01_01.tif"
"2","Colombia_human_footprint_1990_12_31_footprint_1990_1990_01_01_1991_01_01","1990-01-01","1991-01-01","1990-01-01_1991-01-01","Colombia_human_footprint-1990_12_31-footprint_1990.tif","Colombia_human_footprint_1990_12_31_footprint_1990_1990_01_01_1991_01_01.tif"
"3","Colombia_human_footprint_2000_12_31_footprint_2000_2000_01_01_2001_01_01","2000-01-01","2001-01-01","2000-01-01_2001-01-01","Colombia_human_footprint-2000_12_31-footprint_2000.tif","Colombia_human_footprint_2000_12_31_footprint_2000_2000_01_01_2001_01_01.tif"
"4","Colombia_human_footprint_2015_12_31_footprint_2015_2015_01_01_2016_01_01","2015-01-01","2016-01-01","2015-01-01_2016-01-01","Colombia_human_footprint-2015_12_31-footprint_2015.tif","Colombia_human_footprint_2015_12_31_footprint_2015_2015_01_01_2016_01_01.tif"
"5","Colombia_human_footprint_2018_12_31_footprint_2018_2018_01_01_2019_01_01","2018-01-01","2019-01-01","2018-01-01_2019-01-01","Colombia_human_footprint-2018_12_31-footprint_2018.tif","Colombia_human_footprint_2018_12_31_footprint_2018_2018_01_01_2019_01_01.tif"
