"","1342Cinaruco","02020016El_Cocuy","02070640Los_Paraguitos","02070644El_Horizonte","02070638Bombay","02070946El_Guamito","02070637Los_Clavellinos","01010002Cuenca_del_Rio_Tame","01010016Cuenca_Alta_del_Rio_Satoca"
"1342Cinaruco",0,148620.400615567,7846.23600138103,1609.90655281483,4786.90846812064,0,100.034969330571,157573.071484671,161793.037305735
"02020016El_Cocuy",148620.400615567,0,212892.858432868,249199.763383412,249444.864196648,151945.882206979,250110.509823514,0,7608.93055094572
"02070640Los_Paraguitos",7846.23600138103,212892.858432868,0,33679.1380381466,33942.8903532917,79900.9940159064,34815.2900329905,214503.659369792,233126.085191491
"02070644El_Horizonte",1609.90655281483,249199.763383412,33679.1380381466,0,21.7638630648739,110351.758853216,0,250977.53000422,268908.557155975
"02070638Bombay",4786.90846812064,249444.864196648,33942.8903532917,21.7638630648739,0,111748.278601222,0,250953.669896026,269248.037909057
"02070946El_Guamito",0,151945.882206979,79900.9940159064,110351.758853216,111748.278601222,0,110108.770289601,161309.63784534,165526.3389318
"02070637Los_Clavellinos",100.034969330571,250110.509823514,34815.2900329905,0,0,110108.770289601,0,252381.420712824,269434.888308825
"01010002Cuenca_del_Rio_Tame",157573.071484671,0,214503.659369792,250977.53000422,250953.669896026,161309.63784534,252381.420712824,0,40592.9926218705
"01010016Cuenca_Alta_del_Rio_Satoca",161793.037305735,7608.93055094572,233126.085191491,268908.557155975,269248.037909057,165526.3389318,269434.888308825,40592.9926218705,0
