site;y.1;y.2;y.3;y.4;y.5;y.6;y.7;y.8;y.9;y.10;huella;altitud;duration_minutes.1;duration_minutes.2;duration_minutes.3;duration_minutes.4;duration_minutes.5;duration_minutes.6;duration_minutes.7;duration_minutes.8;duration_minutes.9;duration_minutes.10
10021_3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;68;1035;15;NA;NA;NA;NA;NA;NA;NA;NA;NA
10034_5;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;77;1006;18;NA;NA;NA;NA;NA;NA;NA;NA;NA
10041_9;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;963;8;NA;NA;NA;NA;NA;NA;NA;NA;NA
10042_0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;65;987;45;38;NA;NA;NA;NA;NA;NA;NA;NA
10042_6;0;0;NA;NA;NA;NA;NA;NA;NA;NA;65;987;30;36;NA;NA;NA;NA;NA;NA;NA;NA
10042_9;0;0;NA;NA;NA;NA;NA;NA;NA;NA;65;987;25;5;NA;NA;NA;NA;NA;NA;NA;NA
10049_10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;74;1147;223;NA;NA;NA;NA;NA;NA;NA;NA;NA
10052_1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1254;15;NA;NA;NA;NA;NA;NA;NA;NA;NA
10052_11;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1254;242;NA;NA;NA;NA;NA;NA;NA;NA;NA
10052_12;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1254;118;NA;NA;NA;NA;NA;NA;NA;NA;NA
10052_3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1254;25;NA;NA;NA;NA;NA;NA;NA;NA;NA
10052_5;1;0;0;NA;NA;NA;NA;NA;NA;NA;62;1254;72;35;15;NA;NA;NA;NA;NA;NA;NA
10052_8;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1254;15;NA;NA;NA;NA;NA;NA;NA;NA;NA
10161_9;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;65;999;5;NA;NA;NA;NA;NA;NA;NA;NA;NA
10162_11;0;0;NA;NA;NA;NA;NA;NA;NA;NA;68;1018.5;2;3;NA;NA;NA;NA;NA;NA;NA;NA
10164_3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;57;1146;25;NA;NA;NA;NA;NA;NA;NA;NA;NA
10182_0;0;0;0;0;NA;NA;NA;NA;NA;NA;68;936;20;33;58;32;NA;NA;NA;NA;NA;NA
10182_6;0;0;0;0;NA;NA;NA;NA;NA;NA;68;936;24;28;29;156;NA;NA;NA;NA;NA;NA
10182_9;0;0;0;NA;NA;NA;NA;NA;NA;NA;68;936;10;15;28;NA;NA;NA;NA;NA;NA;NA
10198_10;0;0;0;0;1;NA;NA;NA;NA;NA;60;1784.5;240;146;91;129;120;NA;NA;NA;NA;NA
10198_11;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;1784.5;25;NA;NA;NA;NA;NA;NA;NA;NA;NA
10198_2;0;0;0;NA;NA;NA;NA;NA;NA;NA;60;1784.5;43;51;70;NA;NA;NA;NA;NA;NA;NA
10198_3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;1784.5;60;NA;NA;NA;NA;NA;NA;NA;NA;NA
10198_4;1;1;NA;NA;NA;NA;NA;NA;NA;NA;60;1784.5;240;240;NA;NA;NA;NA;NA;NA;NA;NA
10198_6;0;1;1;NA;NA;NA;NA;NA;NA;NA;60;1784.5;21;2;56;NA;NA;NA;NA;NA;NA;NA
10296_2;0;0;0;0;NA;NA;NA;NA;NA;NA;60;1220;180;30;17;50;NA;NA;NA;NA;NA;NA
10297_2;0;0;NA;NA;NA;NA;NA;NA;NA;NA;68;1109;27;85;NA;NA;NA;NA;NA;NA;NA;NA
10302_6;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;71;982;18;NA;NA;NA;NA;NA;NA;NA;NA;NA
10302_9;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;71;982;45;NA;NA;NA;NA;NA;NA;NA;NA;NA
10309_4;0;0;NA;NA;NA;NA;NA;NA;NA;NA;60;1302;56;54;NA;NA;NA;NA;NA;NA;NA;NA
10310_4;0;0;0;NA;NA;NA;NA;NA;NA;NA;71;1173;180;42;54;NA;NA;NA;NA;NA;NA;NA
10323_0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;60;941;28;26;NA;NA;NA;NA;NA;NA;NA;NA
10323_6;0;0;0;0;0;NA;NA;NA;NA;NA;60;941;10;18;16;31;64;NA;NA;NA;NA;NA
10323_9;0;0;0;0;NA;NA;NA;NA;NA;NA;60;941;5;2;10;90;NA;NA;NA;NA;NA;NA
10326_4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;1037;19;NA;NA;NA;NA;NA;NA;NA;NA;NA
10326_5;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;1037;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
10326_7;0;0;0;NA;NA;NA;NA;NA;NA;NA;60;1037;49;91;1;NA;NA;NA;NA;NA;NA;NA
10335_6;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1572;7;NA;NA;NA;NA;NA;NA;NA;NA;NA
10335_9;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1572;16;NA;NA;NA;NA;NA;NA;NA;NA;NA
10338_2;0;1;NA;NA;NA;NA;NA;NA;NA;NA;60;1767;129;90;NA;NA;NA;NA;NA;NA;NA;NA
10338_6;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;1767;11;NA;NA;NA;NA;NA;NA;NA;NA;NA
10338_7;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;1767;200;NA;NA;NA;NA;NA;NA;NA;NA;NA
10338_9;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;1767;153;NA;NA;NA;NA;NA;NA;NA;NA;NA
10341_3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;57;2202;60;NA;NA;NA;NA;NA;NA;NA;NA;NA
10342_10;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;2261;270;NA;NA;NA;NA;NA;NA;NA;NA;NA
10342_6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;2261;200;NA;NA;NA;NA;NA;NA;NA;NA;NA
10450_4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1399;207;NA;NA;NA;NA;NA;NA;NA;NA;NA
10450_9;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1399;300;NA;NA;NA;NA;NA;NA;NA;NA;NA
10459_4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;65;946;30;NA;NA;NA;NA;NA;NA;NA;NA;NA
10460_7;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;74;1022;120;NA;NA;NA;NA;NA;NA;NA;NA;NA
10467_0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;1055;19;NA;NA;NA;NA;NA;NA;NA;NA;NA
10471_0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1350;45;NA;NA;NA;NA;NA;NA;NA;NA;NA
10478_5;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1910;39;NA;NA;NA;NA;NA;NA;NA;NA;NA
10482_3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;65;2157;117;NA;NA;NA;NA;NA;NA;NA;NA;NA
10577_4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;71;1286;29;NA;NA;NA;NA;NA;NA;NA;NA;NA
10583_11;0;0;NA;NA;NA;NA;NA;NA;NA;NA;68;965;4;5;NA;NA;NA;NA;NA;NA;NA;NA
10583_3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;68;965;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
10585_4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;71;1031.5;76;NA;NA;NA;NA;NA;NA;NA;NA;NA
10589_4;0;1;1;NA;NA;NA;NA;NA;NA;NA;60;1651;75;160;45;NA;NA;NA;NA;NA;NA;NA
10602_3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;993;72;NA;NA;NA;NA;NA;NA;NA;NA;NA
10603_9;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;943;65;NA;NA;NA;NA;NA;NA;NA;NA;NA
10608_0;0;0;0;0;NA;NA;NA;NA;NA;NA;60;1122;56;132;42;100;NA;NA;NA;NA;NA;NA
10608_1;0;0;0;0;NA;NA;NA;NA;NA;NA;60;1122;66;105;5;218;NA;NA;NA;NA;NA;NA
10608_10;0;0;0;NA;NA;NA;NA;NA;NA;NA;60;1122;99;87;30;NA;NA;NA;NA;NA;NA;NA
10608_11;0;0;0;NA;NA;NA;NA;NA;NA;NA;60;1122;87;194;15;NA;NA;NA;NA;NA;NA;NA
10608_12;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;1122;143;NA;NA;NA;NA;NA;NA;NA;NA;NA
10608_2;0;0;0;NA;NA;NA;NA;NA;NA;NA;60;1122;220;240;283;NA;NA;NA;NA;NA;NA;NA
10608_4;0;0;0;0;NA;NA;NA;NA;NA;NA;60;1122;275;80;55;189;NA;NA;NA;NA;NA;NA
10608_8;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;1122;150;NA;NA;NA;NA;NA;NA;NA;NA;NA
10609_5;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;1177;300;NA;NA;NA;NA;NA;NA;NA;NA;NA
10609_6;0;0;0;0;NA;NA;NA;NA;NA;NA;60;1177;240;300;240;180;NA;NA;NA;NA;NA;NA
10611_12;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1343;161;NA;NA;NA;NA;NA;NA;NA;NA;NA
10611_6;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1343;138;NA;NA;NA;NA;NA;NA;NA;NA;NA
10612_5;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1292;22;NA;NA;NA;NA;NA;NA;NA;NA;NA
10613_5;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1344;102;NA;NA;NA;NA;NA;NA;NA;NA;NA
10614_4;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;65;1486;240;NA;NA;NA;NA;NA;NA;NA;NA;NA
10615_2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;65;1518;189;NA;NA;NA;NA;NA;NA;NA;NA;NA
10615_4;0;1;NA;NA;NA;NA;NA;NA;NA;NA;65;1518;49;119;NA;NA;NA;NA;NA;NA;NA;NA
10618_1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;74;1827;30;56;NA;NA;NA;NA;NA;NA;NA;NA
10618_10;1;1;0;1;0;1;0;0;NA;NA;74;1827;87;53;294;250;259;280;10;24;NA;NA
10618_11;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;74;1827;264;NA;NA;NA;NA;NA;NA;NA;NA;NA
10618_2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;74;1827;175;NA;NA;NA;NA;NA;NA;NA;NA;NA
10618_3;1;1;0;0;NA;NA;NA;NA;NA;NA;74;1827;107;117;15;180;NA;NA;NA;NA;NA;NA
10618_4;1;0;0;0;0;0;0;0;0;1;74;1827;271;6;57;12;3;33;84;127;66;53
10618_5;1;1;1;1;0;0;0;0;0;0;74;1827;121;183;53;118;61;13;42;69;37;105
10618_6;0;1;0;NA;NA;NA;NA;NA;NA;NA;74;1827;119;79;110;NA;NA;NA;NA;NA;NA;NA
10618_7;1;0;1;NA;NA;NA;NA;NA;NA;NA;74;1827;158;11;232;NA;NA;NA;NA;NA;NA;NA
10618_8;1;1;1;0;1;1;0;1;1;1;74;1827;25;110;61;51;41;121;180;81;118;120
10618_9;1;0;0;0;0;0;0;1;0;1;74;1827;75;73;32;80;109;26;27;240;48;16
10619_2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;2001;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
10619_5;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;2001;180;NA;NA;NA;NA;NA;NA;NA;NA;NA
10619_9;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;2001;104;NA;NA;NA;NA;NA;NA;NA;NA;NA
10620_1;0;0;0;NA;NA;NA;NA;NA;NA;NA;62;1903;5;5;5;NA;NA;NA;NA;NA;NA;NA
10620_3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1903;21;NA;NA;NA;NA;NA;NA;NA;NA;NA
10621_5;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;2078.5;183;NA;NA;NA;NA;NA;NA;NA;NA;NA
10621_7;1;1;NA;NA;NA;NA;NA;NA;NA;NA;62;2078.5;124;143;NA;NA;NA;NA;NA;NA;NA;NA
10621_9;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;2078.5;115;NA;NA;NA;NA;NA;NA;NA;NA;NA
10622_9;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;2188;50;NA;NA;NA;NA;NA;NA;NA;NA;NA
10628_7;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;51;2540;120;NA;NA;NA;NA;NA;NA;NA;NA;NA
10630_12;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;22;2534;281;NA;NA;NA;NA;NA;NA;NA;NA;NA
10631_12;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;17;2676;64;NA;NA;NA;NA;NA;NA;NA;NA;NA
10631_9;0;0;NA;NA;NA;NA;NA;NA;NA;NA;17;2676;15;69;NA;NA;NA;NA;NA;NA;NA;NA
10632_9;1;0;NA;NA;NA;NA;NA;NA;NA;NA;22;2703;46;53;NA;NA;NA;NA;NA;NA;NA;NA
10633_9;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;31;2875;99;NA;NA;NA;NA;NA;NA;NA;NA;NA
10721_4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;74;999;14;NA;NA;NA;NA;NA;NA;NA;NA;NA
10722_0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;77;986;14;NA;NA;NA;NA;NA;NA;NA;NA;NA
10722_4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;77;986;68;NA;NA;NA;NA;NA;NA;NA;NA;NA
10725_4;0;0;NA;NA;NA;NA;NA;NA;NA;NA;65;983;24;17;NA;NA;NA;NA;NA;NA;NA;NA
10726_4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1054.5;56;NA;NA;NA;NA;NA;NA;NA;NA;NA
10730_4;1;0;1;NA;NA;NA;NA;NA;NA;NA;62;1716;94;61;280;NA;NA;NA;NA;NA;NA;NA
10731_4;0;1;NA;NA;NA;NA;NA;NA;NA;NA;62;1633;109;57;NA;NA;NA;NA;NA;NA;NA;NA
10737_9;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;65;1119;4;NA;NA;NA;NA;NA;NA;NA;NA;NA
10742_11;0;0;NA;NA;NA;NA;NA;NA;NA;NA;71;1016;15;21;NA;NA;NA;NA;NA;NA;NA;NA
10742_12;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;71;1016;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
10742_3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;71;1016;33;NA;NA;NA;NA;NA;NA;NA;NA;NA
10742_4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;71;1016;51;NA;NA;NA;NA;NA;NA;NA;NA;NA
10742_6;0;0;NA;NA;NA;NA;NA;NA;NA;NA;71;1016;190;28;NA;NA;NA;NA;NA;NA;NA;NA
10743_1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;71;1014;198;NA;NA;NA;NA;NA;NA;NA;NA;NA
10743_10;0;0;0;NA;NA;NA;NA;NA;NA;NA;71;1014;8;72;97;NA;NA;NA;NA;NA;NA;NA
10743_3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;71;1014;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
10743_5;0;0;NA;NA;NA;NA;NA;NA;NA;NA;71;1014;168;125;NA;NA;NA;NA;NA;NA;NA;NA
10743_8;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;71;1014;110;NA;NA;NA;NA;NA;NA;NA;NA;NA
10744_2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;68;994;60;NA;NA;NA;NA;NA;NA;NA;NA;NA
10744_4;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;68;994;60;NA;NA;NA;NA;NA;NA;NA;NA;NA
10744_5;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;68;994;175;NA;NA;NA;NA;NA;NA;NA;NA;NA
10744_7;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;68;994;35;NA;NA;NA;NA;NA;NA;NA;NA;NA
10758_3;1;0;NA;NA;NA;NA;NA;NA;NA;NA;65;1681;180;45;NA;NA;NA;NA;NA;NA;NA;NA
10759_10;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;65;1821;7;NA;NA;NA;NA;NA;NA;NA;NA;NA
10759_4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;65;1821;60;NA;NA;NA;NA;NA;NA;NA;NA;NA
