"","layer","start","end","period","href","file"
"41","Temperature_2001_12_31_Temp_2001_2001_01_01_2002_01_01","2001-01-01","2002-01-01","2001-01-01_2002-01-01",NA,"Temperature_2001_12_31_Temp_2001_2001_01_01_2002_01_01.tif"
"42","Temperature_2002_12_31_Temp_2002_2002_01_01_2003_01_01","2002-01-01","2003-01-01","2002-01-01_2003-01-01",NA,"Temperature_2002_12_31_Temp_2002_2002_01_01_2003_01_01.tif"
"43","Temperature_2003_12_31_Temp_2003_2003_01_01_2004_01_01","2003-01-01","2004-01-01","2003-01-01_2004-01-01",NA,"Temperature_2003_12_31_Temp_2003_2003_01_01_2004_01_01.tif"
"44","Temperature_2004_12_31_Temp_2004_2004_01_01_2005_01_01","2004-01-01","2005-01-01","2004-01-01_2005-01-01",NA,"Temperature_2004_12_31_Temp_2004_2004_01_01_2005_01_01.tif"
"45","Temperature_2005_12_31_Temp_2005_2005_01_01_2006_01_01","2005-01-01","2006-01-01","2005-01-01_2006-01-01",NA,"Temperature_2005_12_31_Temp_2005_2005_01_01_2006_01_01.tif"
"46","Temperature_2006_12_31_Temp_2006_2006_01_01_2007_01_01","2006-01-01","2007-01-01","2006-01-01_2007-01-01",NA,"Temperature_2006_12_31_Temp_2006_2006_01_01_2007_01_01.tif"
"47","Temperature_2007_12_31_Temp_2007_2007_01_01_2008_01_01","2007-01-01","2008-01-01","2007-01-01_2008-01-01",NA,"Temperature_2007_12_31_Temp_2007_2007_01_01_2008_01_01.tif"
"48","Temperature_2008_12_31_Temp_2008_2008_01_01_2009_01_01","2008-01-01","2009-01-01","2008-01-01_2009-01-01",NA,"Temperature_2008_12_31_Temp_2008_2008_01_01_2009_01_01.tif"
"49","Temperature_2009_12_31_Temp_2009_2009_01_01_2010_01_01","2009-01-01","2010-01-01","2009-01-01_2010-01-01",NA,"Temperature_2009_12_31_Temp_2009_2009_01_01_2010_01_01.tif"
"50","Temperature_2010_12_31_Temp_2010_2010_01_01_2011_01_01","2010-01-01","2011-01-01","2010-01-01_2011-01-01",NA,"Temperature_2010_12_31_Temp_2010_2010_01_01_2011_01_01.tif"
"51","Temperature_2011_12_31_Temp_2011_2011_01_01_2012_01_01","2011-01-01","2012-01-01","2011-01-01_2012-01-01",NA,"Temperature_2011_12_31_Temp_2011_2011_01_01_2012_01_01.tif"
"52","Temperature_2012_12_31_Temp_2012_2012_01_01_2013_01_01","2012-01-01","2013-01-01","2012-01-01_2013-01-01",NA,"Temperature_2012_12_31_Temp_2012_2012_01_01_2013_01_01.tif"
"53","Temperature_2013_12_31_Temp_2013_2013_01_01_2014_01_01","2013-01-01","2014-01-01","2013-01-01_2014-01-01",NA,"Temperature_2013_12_31_Temp_2013_2013_01_01_2014_01_01.tif"
"54","Temperature_2014_12_31_Temp_2014_2014_01_01_2015_01_01","2014-01-01","2015-01-01","2014-01-01_2015-01-01",NA,"Temperature_2014_12_31_Temp_2014_2014_01_01_2015_01_01.tif"
"55","Temperature_2015_12_31_Temp_2015_2015_01_01_2016_01_01","2015-01-01","2016-01-01","2015-01-01_2016-01-01",NA,"Temperature_2015_12_31_Temp_2015_2015_01_01_2016_01_01.tif"
"56","Temperature_2016_12_31_Temp_2016_2016_01_01_2017_01_01","2016-01-01","2017-01-01","2016-01-01_2017-01-01",NA,"Temperature_2016_12_31_Temp_2016_2016_01_01_2017_01_01.tif"
"57","Temperature_2017_12_31_Temp_2017_2017_01_01_2018_01_01","2017-01-01","2018-01-01","2017-01-01_2018-01-01",NA,"Temperature_2017_12_31_Temp_2017_2017_01_01_2018_01_01.tif"
"58","Temperature_2018_12_31_Temp_2018_2018_01_01_2019_01_01","2018-01-01","2019-01-01","2018-01-01_2019-01-01",NA,"Temperature_2018_12_31_Temp_2018_2018_01_01_2019_01_01.tif"
"59","Temperature_2019_12_31_Temp_2019_2019_01_01_2020_01_01","2019-01-01","2020-01-01","2019-01-01_2020-01-01",NA,"Temperature_2019_12_31_Temp_2019_2019_01_01_2020_01_01.tif"
"60","Temperature_2020_12_31_Temp_2020_2020_01_01_2021_01_01","2020-01-01","2021-01-01","2020-01-01_2021-01-01",NA,"Temperature_2020_12_31_Temp_2020_2020_01_01_2021_01_01.tif"
"61","Temperature_2021_12_31_Temp_2021_2021_01_01_2022_01_01","2021-01-01","2022-01-01","2021-01-01_2022-01-01",NA,"Temperature_2021_12_31_Temp_2021_2021_01_01_2022_01_01.tif"
"62","Temperature_2022_12_31_Temp_2022_2022_01_01_2023_01_01","2022-01-01","2023-01-01","2022-01-01_2023-01-01",NA,"Temperature_2022_12_31_Temp_2022_2022_01_01_2023_01_01.tif"
