"id"	"scientific_name"	"lon"	"lat"
3759312902	"Glyptemys insculpta"	-830896.790642102	-441422.063366995
3759336078	"Glyptemys insculpta"	-316116.063946462	-181529.089589948
3759376843	"Glyptemys insculpta"	-872257.422105426	-462792.287102444
3759451583	"Glyptemys insculpta"	-318908.66218997	-202719.448654324
3759468758	"Glyptemys insculpta"	-875853.314515871	-447900.03818724
3759526959	"Glyptemys insculpta"	-361455.543784683	36287.4205918168
3759672639	"Glyptemys insculpta"	-866077.062812662	-453287.513735083
3759727966	"Glyptemys insculpta"	-868749.798871183	-462536.196954046
3759732801	"Glyptemys insculpta"	-875619.746697764	-451449.07917875
3759997649	"Glyptemys insculpta"	-687087.577349508	-336533.354749465
3760041644	"Glyptemys insculpta"	-871168.263447619	-463575.401107545
3760256658	"Glyptemys insculpta"	-872464.669915302	-462007.327940823
3760304972	"Glyptemys insculpta"	-869925.822134077	-447967.12426616
3760350209	"Glyptemys insculpta"	-878518.707608383	-450059.473287098
3764101228	"Glyptemys insculpta"	-353926.565780836	-57640.301914465
3764206497	"Glyptemys insculpta"	-289697.087187336	-145454.980208482
3764218524	"Glyptemys insculpta"	-1226208.6806017	144571.001789673
3764379116	"Glyptemys insculpta"	-1368672.94343299	130652.113552584
3764473547	"Glyptemys insculpta"	-1228327.8716059	148129.668855584
3764475799	"Glyptemys insculpta"	-747080.425691246	-351847.416395681
3772427568	"Glyptemys insculpta"	-880670.142118243	-460610.971895202
3772606704	"Glyptemys insculpta"	-867967.773349647	-456702.897008423
3773369749	"Glyptemys insculpta"	-889855.187743241	-431143.180381316
3784649723	"Glyptemys insculpta"	-692279.834914378	-279291.035543795
3772677289	"Glyptemys insculpta"	-375991.22788699	54280.7100739966
3772846061	"Glyptemys insculpta"	-485488.209087501	-220925.767003169
3773001696	"Glyptemys insculpta"	-427882.8356591	-163431.735876649
3773049648	"Glyptemys insculpta"	-465798.834431068	-245178.999846433
3773110150	"Glyptemys insculpta"	-874462.33824839	-458145.928482299
3773565878	"Glyptemys insculpta"	-880872.607281724	-450157.56941998
3773567828	"Glyptemys insculpta"	-572666.402160954	-47042.5719283665
3773661289	"Glyptemys insculpta"	-875522.269930065	-429913.167353944
3773758830	"Glyptemys insculpta"	-566251.449889878	-59857.6092483497
3784675507	"Glyptemys insculpta"	-198590.456742849	-36717.5497112249
3784704718	"Glyptemys insculpta"	-870360.360241899	-458644.957967873
3784748704	"Glyptemys insculpta"	-407893.953652692	-264178.923863343
3784758819	"Glyptemys insculpta"	-324662.486640001	-76904.6810583552
3784790697	"Glyptemys insculpta"	-739726.344281554	-339748.968178672
3784795968	"Glyptemys insculpta"	-803581.850236613	-289289.4001102
3784894865	"Glyptemys insculpta"	-874934.119787469	-462460.484488632
3784898649	"Glyptemys insculpta"	-875323.780746029	-466748.876808519
3784975112	"Glyptemys insculpta"	-713569.655975701	-356160.472957288
3785154669	"Glyptemys insculpta"	-923690.787500329	-303669.318818808
3785164339	"Glyptemys insculpta"	-314437.611420254	-25318.4341559944
3802308145	"Glyptemys insculpta"	-20301.4034119557	203166.978846344
3802316001	"Glyptemys insculpta"	-12116.3364399728	201614.126296876
3802363823	"Glyptemys insculpta"	-18973.6100980153	209689.676129714
3802386763	"Glyptemys insculpta"	-770028.470500616	-348679.52386204
3802409166	"Glyptemys insculpta"	-471882.95143151	-227583.841601827
3802462515	"Glyptemys insculpta"	-418741.254941984	-142637.053417083
3802490511	"Glyptemys insculpta"	-522895.86396039	-324629.071841037
3802696178	"Glyptemys insculpta"	-680412.301513899	-274989.417964585
3858333821	"Glyptemys insculpta"	-306168.328948605	-213705.861937421
3858335424	"Glyptemys insculpta"	-294174.129944978	-50917.5407583551
3858394493	"Glyptemys insculpta"	-868712.115434626	-418789.132107869
3858478639	"Glyptemys insculpta"	-1311622.44419747	149075.912325597
3858554504	"Glyptemys insculpta"	-547530.160193699	-319522.433702659
3858587486	"Glyptemys insculpta"	-273501.89041173	-112454.279263763
3858594635	"Glyptemys insculpta"	-854004.210798714	-415471.699379828
3858646046	"Glyptemys insculpta"	-406464.249339514	62557.0164254499
3858706958	"Glyptemys insculpta"	-1226020.93548701	246384.881523227
3858772924	"Glyptemys insculpta"	-1388524.76558787	158329.371026437
3858850041	"Glyptemys insculpta"	-1386403.11822933	200390.086760291
3858870563	"Glyptemys insculpta"	-290037.093033136	-147602.529504544
3859193889	"Glyptemys insculpta"	-709675.85627368	-286151.683953551
3859292980	"Glyptemys insculpta"	-357390.99307589	-182140.045077604
3859390050	"Glyptemys insculpta"	-560881.402143628	-284556.226022684
3859401093	"Glyptemys insculpta"	-650136.992111411	-134576.558861834
3859407755	"Glyptemys insculpta"	-1213630.7161288	251843.29530344
3859423477	"Glyptemys insculpta"	-288744.891567468	-23140.2575124474
3859520748	"Glyptemys insculpta"	-1626416.06908214	530891.972577938
3859538440	"Glyptemys insculpta"	-290729.763900672	-33597.2989722419
3859543734	"Glyptemys insculpta"	-1303021.24338014	141454.061257643
3859744895	"Glyptemys insculpta"	-1229783.64391344	224177.794309127
3859934697	"Glyptemys insculpta"	-1317641.28721666	144905.158148976
3860040625	"Glyptemys insculpta"	-393105.382023385	-110426.079705034
3860089621	"Glyptemys insculpta"	-1316677.11487833	129248.589024091
3860130999	"Glyptemys insculpta"	-1724122.34294802	627390.154432203
3860153736	"Glyptemys insculpta"	-1312075.96424479	131701.285808616
3860207916	"Glyptemys insculpta"	-1219762.35564233	256794.967815678
3860212008	"Glyptemys insculpta"	-1224682.53708238	261250.212590647
3860224989	"Glyptemys insculpta"	-1229514.5298199	248869.540298917
3860240995	"Glyptemys insculpta"	-1216992.32397076	262503.336613819
3860257881	"Glyptemys insculpta"	-1216739.59229614	250035.701748265
3860268932	"Glyptemys insculpta"	-1218089.40014992	253176.970873837
3860276957	"Glyptemys insculpta"	-1215891.69579141	248949.595607228
3860370589	"Glyptemys insculpta"	-753869.559632185	-198307.30219587
3860384152	"Glyptemys insculpta"	-543903.296336683	-225374.206744589
3860389889	"Glyptemys insculpta"	-1213227.64732861	263272.471792701
3860394849	"Glyptemys insculpta"	-595003.842632572	-376119.031996333
3860403765	"Glyptemys insculpta"	-1385486.28086214	216631.867879685
3860458865	"Glyptemys insculpta"	-1223324.56964614	244327.949853547
3860476985	"Glyptemys insculpta"	-1224898.20618241	258742.369160811
3860512725	"Glyptemys insculpta"	-1309631.15766453	133929.368702188
3860527959	"Glyptemys insculpta"	-1224182.74354717	258573.604900513
3860653158	"Glyptemys insculpta"	-319104.1410386	41061.2688650752
3860693586	"Glyptemys insculpta"	-867628.182852723	-457597.822683692
3873502052	"Glyptemys insculpta"	-557231.095852183	-308128.693029686
3858334174	"Glyptemys insculpta"	-317735.848372523	-236456.348408917
3858354067	"Glyptemys insculpta"	-646289.05653346	-156652.357535094
3858364148	"Glyptemys insculpta"	-868829.225395251	-147299.414256154
3858389030	"Glyptemys insculpta"	-1413751.48124288	222792.4387172
3858427688	"Glyptemys insculpta"	-165221.557604865	-28243.5871565673
3858456971	"Glyptemys insculpta"	-1241009.89399301	214921.307584011
3858484333	"Glyptemys insculpta"	-402937.409012083	-172230.009147699
3858524453	"Glyptemys insculpta"	-306498.376718408	-20154.1437602287
3858535829	"Glyptemys insculpta"	-294065.332929673	-208924.954211989
3858542018	"Glyptemys insculpta"	-1225567.62500596	139525.183135564
3858609724	"Glyptemys insculpta"	-778652.570660728	-245479.577674506
3858624796	"Glyptemys insculpta"	-354950.538925694	-148108.132551256
3858655155	"Glyptemys insculpta"	-383591.300590821	-74773.8274450575
3858665210	"Glyptemys insculpta"	-1242402.018424	274655.206059043
3858668598	"Glyptemys insculpta"	-176394.707726741	-73313.9204684686
3858696556	"Glyptemys insculpta"	-844947.96287649	-424543.039030166
3858698882	"Glyptemys insculpta"	-12243.372092857	167908.171337989
3858721966	"Glyptemys insculpta"	-1750158.12662065	455098.645347123
3858722836	"Glyptemys insculpta"	-218473.841029386	-59528.7261584354
3858724804	"Glyptemys insculpta"	-578135.590715914	-222979.261543658
3858734284	"Glyptemys insculpta"	-867905.202052	-454070.309741635
3858764203	"Glyptemys insculpta"	-1407583.06815073	172205.603115334
3858764222	"Glyptemys insculpta"	-828114.032606865	-430043.376936283
3858771726	"Glyptemys insculpta"	-656410.147234026	-139264.656755325
3858820654	"Glyptemys insculpta"	-198555.505200654	68116.3445266886
3858824243	"Glyptemys insculpta"	-307049.180423125	-163273.781771905
3858841653	"Glyptemys insculpta"	-663572.862524005	-132335.086712373
3858945117	"Glyptemys insculpta"	-297733.054878158	-35863.0972897191
3858950543	"Glyptemys insculpta"	-927532.984306358	-264986.807231121
3858958168	"Glyptemys insculpta"	-873358.711684586	-461054.232808406
3859089737	"Glyptemys insculpta"	-318546.563344173	-227317.716225018
3859177001	"Glyptemys insculpta"	-1754375.2017305	436073.932293943
3859181609	"Glyptemys insculpta"	-870765.912853137	-465993.509753091
3859222668	"Glyptemys insculpta"	-610060.304965314	-291159.834667014
3859244514	"Glyptemys insculpta"	-751630.117816085	-237627.623291543
3859318685	"Glyptemys insculpta"	-920305.433724088	-253189.433339315
