"","site","y.1","y.2","y.3","y.4","y.5","y.6","y.7","y.8","y.9","y.10","huella","altitud","duration_minutes.1","duration_minutes.2","duration_minutes.3","duration_minutes.4","duration_minutes.5","duration_minutes.6","duration_minutes.7","duration_minutes.8","duration_minutes.9","duration_minutes.10"
"1773","6299_2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,1299,81,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1774","6299_3",0,0,0,0,0,0,NA,NA,NA,NA,57,1299,60,65,26,34,101,157,NA,NA,NA,NA
"1775","6299_5",0,0,0,NA,NA,NA,NA,NA,NA,NA,57,1299,47,69,20,NA,NA,NA,NA,NA,NA,NA
"1776","6299_9",0,0,NA,NA,NA,NA,NA,NA,NA,NA,57,1299,148,218,NA,NA,NA,NA,NA,NA,NA,NA
"1777","6301_7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,1257.5,133,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1778","6302_3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,1232.5,260,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1779","6302_6",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,1232.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1780","6313_0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,910.5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1781","6313_1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,910.5,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1782","6313_5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,910.5,37,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1783","6372_6",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1376,33,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1784","6430_0",1,0,0,0,NA,NA,NA,NA,NA,NA,54,2550,234,68,9,20,NA,NA,NA,NA,NA,NA
"1785","6430_5",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,2550,129,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1786","6430_7",0,0,0,0,1,NA,NA,NA,NA,NA,54,2550,120,60,60,140,240,NA,NA,NA,NA,NA
"1787","6434_1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,2047,151,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1788","6434_9",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,2047,221,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1789","6567_12",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,3242,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1790","6576_7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,1652,48,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1791","6595_5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,983,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1792","6706_7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,3437,44,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1793","6708_4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,3241,89,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1794","6711_0",1,1,NA,NA,NA,NA,NA,NA,NA,NA,22,2982,249,255,NA,NA,NA,NA,NA,NA,NA,NA
"1795","6711_4",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,2982,104,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1796","6712_0",0,1,NA,NA,NA,NA,NA,NA,NA,NA,51,2591,25,45,NA,NA,NA,NA,NA,NA,NA,NA
"1797","6712_4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,2591,164,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1798","6724_7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1221,213,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1799","6740_0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,684,75,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1800","6740_5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,684,240,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1801","6740_9",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,684,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1802","6747_5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,331,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1803","6748_3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,323,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1804","6748_5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,323,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1805","6759_0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,191.5,171,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1806","6759_10",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,191.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1807","6759_11",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,191.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
