"site","y.1","y.2","y.3","y.4","y.5","y.6","y.7","y.8","y.9","y.10","bio18_1981_01_01_1982_01_01","bio4_1981_01_01_1982_01_01","bio7_1981_01_01_1982_01_01","duration_minutes.1","duration_minutes.2","duration_minutes.3","duration_minutes.4","duration_minutes.5","duration_minutes.6","duration_minutes.7","duration_minutes.8","duration_minutes.9","duration_minutes.10"
"2165_100",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2165_122",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2165_131",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,210,NA,NA,NA,NA,NA,NA,NA,NA
"2165_133",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,5,NA,NA,NA,NA,NA,NA,NA,NA
"2165_136",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,254,NA,NA,NA,NA,NA,NA,NA,NA
"2165_157",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,36,NA,NA,NA,NA,NA,NA,NA,NA
"2166_162",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2171_135",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2173_116",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2173_143",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,11,16,NA,NA,NA,NA,NA,NA,NA
"2173_144",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2173_145",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,24,7,6,NA,NA,NA,NA,NA,NA
"2173_156",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2173_160",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2182_142",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2182_148",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,285,NA,NA,NA,NA,NA,NA,NA,NA
"2183_110",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2183_138",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2183_142",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2183_143",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2184_143",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2184_147",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2184_162",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,53,NA,NA,NA,NA,NA,NA,NA,NA
"2186_138",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2191_158",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2197_119",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2197_160",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2198_47",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4987,191,110,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2198_74",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4987,191,110,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2198_85",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4987,191,110,170,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2198_90",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4987,191,110,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2198_97",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4987,191,110,70,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2198_101",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4987,191,110,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2198_105",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4987,191,110,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2198_124",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4987,191,110,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2214_97",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8314,209,115,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2214_107",0,0,1,NA,NA,NA,NA,NA,NA,NA,8314,209,115,23,14,50,NA,NA,NA,NA,NA,NA,NA
"2268_146",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6602,618,123,121,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2268_149",0,0,0,0,NA,NA,NA,NA,NA,NA,6602,618,123,180,90,110,90,NA,NA,NA,NA,NA,NA
"2269_71",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6591,606,123,180,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2269_146",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6591,606,123,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2269_155",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6591,606,123,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2287_50",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5425,775,127,180,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2287_56",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5425,775,127,120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2287_93",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5425,775,127,76,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2287_104",0,0,0,0,0,NA,NA,NA,NA,NA,5425,775,127,30,80,157,200,180,NA,NA,NA,NA,NA
"2287_105",0,0,0,0,0,0,0,0,0,0,5425,775,127,4,5,9,1,1,4,13,6,1,6
"2287_106",0,0,0,0,0,0,0,NA,NA,NA,5425,775,127,40,5,5,6,4,60,30,NA,NA,NA
"2287_126",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5425,775,127,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2287_140",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5425,775,127,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2287_149",0,0,0,NA,NA,NA,NA,NA,NA,NA,5425,775,127,50,48,79,NA,NA,NA,NA,NA,NA,NA
"2287_152",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5425,775,127,67,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2287_155",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5425,775,127,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2287_162",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5425,775,127,101,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2309_87",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2309_91",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2309_101",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2309_133",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2309_134",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,32,NA,NA,NA,NA,NA,NA,NA,NA
"2309_135",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,2,NA,NA,NA,NA,NA,NA,NA,NA
"2309_136",1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,18,115,NA,NA,NA,NA,NA,NA,NA
"2309_137",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2309_138",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2309_144",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2309_145",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,105,NA,NA,NA,NA,NA,NA,NA,NA
"2309_146",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,64,NA,NA,NA,NA,NA,NA,NA,NA
"2309_148",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2309_154",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2309_155",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,53,NA,NA,NA,NA,NA,NA,NA,NA
"2309_158",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,52,36,NA,NA,NA,NA,NA,NA,NA
"2309_159",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,43,NA,NA,NA,NA,NA,NA,NA,NA
"2309_163",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2310_89",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2310_119",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2310_120",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2311_82",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2311_116",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,11,NA,NA,NA,NA,NA,NA
"2311_122",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11,11,NA,NA,NA,NA,NA,NA,NA
"2311_129",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,NA
"2311_130",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2311_135",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,11,NA,NA,NA,NA,NA,NA,NA
"2311_136",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2311_140",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,10,12,NA,NA,NA,NA,NA,NA,NA
"2311_141",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2311_149",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2311_152",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2312_97",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,3,NA,NA,NA,NA,NA,NA,NA,NA
"2312_98",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2312_102",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2312_114",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2312_115",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2312_116",0,1,0,1,0,0,0,0,0,0,NA,NA,NA,10,10,10,10,11,10,10,12,11,10
"2312_117",0,1,1,0,1,0,0,1,NA,NA,NA,NA,NA,10,11,10,13,11,12,10,11,NA,NA
"2312_121",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2312_122",1,1,0,1,0,0,0,0,0,0,NA,NA,NA,242,10,10,12,10,11,10,10,11,11
"2312_128",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2312_129",1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,10,11,11,10,10,14,10,11,NA,NA
"2312_130",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,10,17,13,10,14,13,NA,NA,NA,NA
"2312_135",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,12,10,10,11,10,10,12,10,10,14
"2312_136",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,10,8,10,NA,NA,NA,NA,NA,NA
"2312_140",0,0,0,0,0,1,1,0,0,1,NA,NA,NA,10,10,15,11,13,10,10,10,10,10
"2312_141",1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,10,11,12,NA,NA,NA,NA,NA,NA
"2312_160",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2312_162",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2314_99",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2314_118",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2316_74",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2316_78",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2316_112",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2316_123",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2316_139",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2316_140",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2316_141",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2316_142",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2316_143",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2316_148",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2316_149",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2316_150",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2316_152",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2316_154",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2316_157",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2316_159",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2316_164",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2319_117",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,25,NA,NA,NA,NA,NA,NA,NA,NA
"2319_121",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2319_122",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2319_128",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2319_132",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2319_133",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2319_137",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2319_146",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2319_147",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2319_148",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,192,NA,NA,NA,NA,NA,NA,NA,NA
"2319_154",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2328_113",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,11,18,6,4,NA,NA,NA,NA
"2328_119",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2328_138",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2328_145",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,20,NA,NA,NA,NA,NA,NA,NA,NA
"2328_146",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2328_148",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2328_151",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2328_152",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,11,140,160,55,137,NA,NA,NA,NA,NA
"2328_153",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,47,45,5,NA,NA,NA,NA,NA,NA
"2328_155",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,16,223,NA,NA,NA,NA,NA,NA,NA
"2328_159",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,23,17,4,7,9,NA,NA,NA,NA,NA
"2328_162",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2329_110",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2335_142",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2335_156",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,106,57,NA,NA,NA,NA,NA,NA,NA
"2341_108",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2341_130",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2346_115",0,0,NA,NA,NA,NA,NA,NA,NA,NA,5394,177,111,180,120,NA,NA,NA,NA,NA,NA,NA,NA
"2356_49",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7854,193,114,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2356_60",0,0,0,NA,NA,NA,NA,NA,NA,NA,7854,193,114,146,60,150,NA,NA,NA,NA,NA,NA,NA
"2357_107",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10728,191,114,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2413_164",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6457,630,123,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2423_158",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6040,699,124,130,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2431_104",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5390,805,127,240,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2454_101",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2455_117",0,0,0,0,0,0,1,1,1,0,NA,NA,NA,10,12,11,12,12,10,10,13,10,11
"2455_122",1,1,0,0,1,0,0,0,0,1,NA,NA,NA,14,10,10,10,11,11,10,10,10,11
"2455_129",0,1,1,1,0,1,0,1,1,0,NA,NA,NA,10,13,20,11,10,15,10,12,13,10
"2455_130",1,1,0,1,0,0,0,0,1,1,NA,NA,NA,11,12,12,12,11,10,10,10,10,13
"2455_135",0,0,0,1,1,1,0,1,NA,NA,NA,NA,NA,11,16,15,16,12,10,13,12,NA,NA
"2455_136",0,1,0,1,0,0,1,1,1,0,NA,NA,NA,11,12,13,11,10,11,11,13,12,10
"2455_140",0,0,0,0,0,0,1,0,0,1,NA,NA,NA,17,10,12,11,13,17,12,10,11,11
"2456_65",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2456_74",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2456_77",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2456_85",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2456_86",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2456_87",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2456_91",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2456_92",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2456_98",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,180,50,10,5,5,50,NA,NA,NA,NA
"2456_100",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,180,NA,NA,NA,NA,NA,NA,NA,NA
"2456_101",0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,5,10,5,40,60,3,45,25,NA,NA
"2456_102",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,3,NA,NA,NA,NA,NA,NA,NA,NA
"2456_103",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2456_104",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,15,NA,NA,NA,NA,NA,NA,NA,NA
"2456_105",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2456_106",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2456_107",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,83,NA,NA,NA,NA,NA,NA,NA,NA
"2456_109",0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,130,146,NA,NA,NA,NA,NA,NA
"2456_110",0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,60,8,180,NA,NA,NA,NA,NA,NA
"2456_111",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2456_112",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2456_113",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,45,NA,NA,NA,NA,NA,NA,NA,NA
"2456_114",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,5,14,1,NA,NA,NA,NA,NA,NA
"2456_115",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,45,82,NA,NA,NA,NA,NA,NA,NA
"2456_116",0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,13,10,9,10,10,10,12,10,10,NA
"2456_117",1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,11,10,120,11,10,NA,NA,NA,NA,NA
"2456_118",0,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,110,10,12,10,10,10,11,NA,NA,NA
"2456_119",0,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,10,10,11,11,10,10,NA,NA,NA,NA
"2456_120",0,0,0,0,1,1,1,0,1,NA,NA,NA,NA,60,8,30,132,100,2,150,270,205,NA
"2456_121",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,119,180,NA,NA,NA,NA,NA,NA,NA
"2456_122",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,210,10,10,11,10,11,11,242,90,11
