"site","y.1","y.2","y.3","y.4","y.5","y.6","y.7","y.8","y.9","y.10","bio18_1981_01_01_1982_01_01","bio4_1981_01_01_1982_01_01","bio7_1981_01_01_1982_01_01","duration_minutes.1","duration_minutes.2","duration_minutes.3","duration_minutes.4","duration_minutes.5","duration_minutes.6","duration_minutes.7","duration_minutes.8","duration_minutes.9","duration_minutes.10"
"204_114",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213_78",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213_109",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,197,15,NA,NA,NA,NA,NA,NA,NA
"213_110",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213_126",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213_135",1,1,0,1,1,1,1,0,1,1,NA,NA,NA,57,99,3,91,16,68,166,5,102,26
"213_136",1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,17,124,6,34,44,6,NA,NA,NA,NA
"213_137",0,0,1,1,1,1,1,1,1,1,NA,NA,NA,5,6,59,47,111,124,94,158,43,35
"213_138",1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,84,95,135,35,66,NA,NA,NA,NA,NA
"213_139",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,40,26,NA,NA,NA,NA,NA,NA,NA
"213_140",0,1,1,1,0,0,1,1,0,1,NA,NA,NA,55,25,43,161,85,5,42,45,5,44
"213_142",0,0,1,0,0,1,0,1,0,1,NA,NA,NA,36,17,55,21,83,12,108,65,16,13
"213_143",1,0,0,0,1,1,1,0,0,1,NA,NA,NA,120,101,75,44,35,41,75,61,15,23
"213_144",1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,45,74,38,96,14,NA,NA,NA,NA,NA
"213_146",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,72,24,22,5,57,5,NA,NA,NA,NA
